ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13189341,JG398831,08/26/2023 10:30:00 AM,005XX E 32ND ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,211,2,4,35,05,1180539,1883677,2023,09/03/2023 03:43:16 PM,41.836069707,-87.613033345,"(41.836069707, -87.613033345)"
13187443,JG396574,08/24/2023 10:00:00 PM,072XX S CHAMPLAIN AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,323,3,6,69,02,1181819,1857085,2023,09/01/2023 03:43:17 PM,41.763069461,-87.609158679,"(41.763069461, -87.609158679)"
13167903,JG373281,08/03/2023 12:04:00 PM,069XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,false,false,2431,24,49,1,06,1166747,1946376,2023,08/19/2023 03:40:26 PM,42.00842557,-87.661839303,"(42.00842557, -87.661839303)"
13147148,JG348963,07/20/2023 12:30:00 PM,013XX N WELLS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1821,18,2,8,11,1174455,1909496,2023,08/19/2023 03:40:26 PM,41.907056567,-87.634586291,"(41.907056567, -87.634586291)"
13135628,JG335048,07/10/2023 08:57:00 AM,086XX S ST LAWRENCE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,632,6,6,44,08A,1181754,1847632,2023,08/19/2023 03:40:26 PM,41.737130902,-87.60968831,"(41.737130902, -87.60968831)"
13280477,JG508145,06/16/2023 04:00:00 PM,072XX S CAMPBELL AVE,0810,THEFT,OVER $500,RESIDENCE,false,true,832,8,18,66,06,1160965,1856470,2023,11/19/2023 03:40:38 PM,41.761838161,-87.685609472,"(41.761838161, -87.685609472)"
13097080,JG289307,06/05/2023 04:46:00 PM,043XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1131,11,28,26,08B,1147467,1898332,2023,08/19/2023 03:40:26 PM,41.876981804,-87.734011599,"(41.876981804, -87.734011599)"
13073982,JG261714,05/15/2023 04:00:00 PM,064XX W 64TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,812,8,13,64,14,1134632,1861060,2023,08/19/2023 03:40:26 PM,41.774937584,-87.782016845,"(41.774937584, -87.782016845)"
13073492,JG261241,05/15/2023 11:00:00 AM,075XX N BELL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,2411,24,49,2,26,1160012,1950062,2023,08/19/2023 03:40:26 PM,42.018682337,-87.686516569,"(42.018682337, -87.686516569)"
13068382,JG255051,05/10/2023 10:59:00 AM,052XX W PALMER ST,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,false,false,2515,25,36,19,08A,1140886,1914122,2023,08/19/2023 03:40:26 PM,41.920434991,-87.757786441,"(41.920434991, -87.757786441)"
13058308,JG242583,04/30/2023 08:20:00 AM,088XX S COTTAGE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,632,6,8,44,08B,1183105,1846661,2023,08/19/2023 03:40:26 PM,41.73443509,-87.604768811,"(41.73443509, -87.604768811)"
13010294,JG185499,03/14/2023 03:00:00 AM,007XX N SACRAMENTO BLVD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,OTHER (SPECIFY),false,false,1221,12,27,23,11,1156097,1904592,2023,08/19/2023 03:40:26 PM,41.893990113,-87.702155577,"(41.893990113, -87.702155577)"
12980460,JG149657,02/12/2023 07:34:00 AM,033XX W ARMITAGE AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,1422,14,26,22,03,1153673,1913089,2023,08/19/2023 03:40:26 PM,41.917355244,-87.710831723,"(41.917355244, -87.710831723)"
12967946,JG134707,01/30/2023 12:00:00 PM,025XX E 83RD ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,423,4,7,46,08A,1194703,1850435,2023,08/19/2023 03:40:26 PM,41.744513996,-87.562155793,"(41.744513996, -87.562155793)"
12941499,JG103629,01/04/2023 12:00:00 AM,058XX N SHERIDAN RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,2022,20,48,77,26,1168577,1938929,2023,08/19/2023 03:40:26 PM,41.987951293,-87.655323262,"(41.987951293, -87.655323262)"
12926111,JF514494,12/17/2022 10:43:00 PM,0000X W KINZIE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,1831,18,42,8,08B,1176088,1903018,2022,01/03/2023 03:40:27 PM,41.889243957,-87.628783073,"(41.889243957, -87.628783073)"
12921370,JF508599,12/12/2022 03:30:00 PM,108XX S EBERHART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,false,false,513,5,9,49,14,1181502,1833157,2022,01/03/2023 03:40:27 PM,41.6974155,-87.611056451,"(41.6974155, -87.611056451)"
12910982,JF496273,12/03/2022 04:07:00 AM,036XX N CLARK ST,0460,BATTERY,SIMPLE,STREET,true,false,1923,19,44,6,08B,1168277,1924231,2022,01/03/2023 03:40:27 PM,41.947626023,-87.656853521,"(41.947626023, -87.656853521)"
12884831,JF465077,11/06/2022 09:40:00 PM,092XX S GREENWOOD AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,413,4,8,47,08B,1185159,1844008,2022,01/03/2023 03:40:27 PM,41.727107005,-87.597327075,"(41.727107005, -87.597327075)"
12870159,JF447818,10/23/2022 03:00:00 AM,044XX S FRANCISCO AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,922,9,15,58,03,1157772,1875136,2022,01/03/2023 03:40:27 PM,41.813125671,-87.696805771,"(41.813125671, -87.696805771)"
12867616,JF443817,10/21/2022 08:30:00 PM,031XX N LOCKWOOD AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,2514,25,31,19,08A,1140484,1920534,2022,01/03/2023 03:40:27 PM,41.938037581,-87.759105707,"(41.938037581, -87.759105707)"
12843565,JF415621,09/29/2022 05:20:00 PM,044XX N CENTRAL AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,BAR OR TAVERN,true,false,1623,16,38,15,04A,1138209,1928924,2022,01/03/2023 03:40:27 PM,41.961102078,-87.767263264,"(41.961102078, -87.767263264)"
12834372,JF404765,09/20/2022 03:00:00 PM,009XX W EASTWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1914,19,46,3,07,1169051,1931075,2022,01/03/2023 03:40:27 PM,41.966389404,-87.653809022,"(41.966389404, -87.653809022)"
12823684,JF391784,09/10/2022 10:00:00 PM,017XX E 83RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,412,4,8,45,14,1189442,1850296,2022,01/03/2023 03:40:27 PM,41.744260332,-87.581436871,"(41.744260332, -87.581436871)"
12845464,JF417938,08/26/2022 09:00:00 PM,002XX E 111TH ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,531,5,9,49,06,1179719,1831409,2022,01/03/2023 03:40:27 PM,41.692659589,-87.617637943,"(41.692659589, -87.617637943)"
12807240,JF372297,08/26/2022 12:00:00 PM,040XX N CUMBERLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1614,16,38,17,14,1119348,1925757,2022,01/03/2023 03:40:27 PM,41.952732399,-87.836675397,"(41.952732399, -87.836675397)"
12797460,JF360754,08/17/2022 10:00:00 PM,011XX N HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1112,11,37,23,14,1149846,1907277,2022,01/03/2023 03:40:27 PM,41.90148192,-87.725043718,"(41.90148192, -87.725043718)"
12774889,JF334051,07/27/2022 06:53:00 PM,014XX W FULLERTON AVE,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,true,false,1932,19,2,7,18,1166434,1916048,2022,01/03/2023 03:40:27 PM,41.925211169,-87.663862794,"(41.925211169, -87.663862794)"
12761319,JF317864,07/14/2022 08:19:00 PM,094XX S ASHLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),true,false,2221,22,21,73,15,1167328,1842084,2022,01/03/2023 03:40:27 PM,41.722227067,-87.662699211,"(41.722227067, -87.662699211)"
12758326,JF314186,07/12/2022 01:17:00 AM,060XX N WESTERN AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,2413,24,40,2,06,1159227,1939947,2022,01/03/2023 03:40:27 PM,41.99094269,-87.689685077,"(41.99094269, -87.689685077)"
12751295,JF305568,07/05/2022 12:50:00 AM,065XX N TALMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2412,24,50,2,08B,1157470,1943333,2022,01/03/2023 03:40:27 PM,42.000270065,-87.696055078,"(42.000270065, -87.696055078)"
12752119,JF306036,07/03/2022 01:24:00 PM,017XX N MARCEY ST,0860,THEFT,RETAIL THEFT,TAVERN / LIQUOR STORE,false,false,1811,18,2,7,06,1168889,1911829,2022,01/03/2023 03:40:27 PM,41.913581053,-87.654964655,"(41.913581053, -87.654964655)"
12743801,JF296284,06/25/2022 03:00:00 PM,058XX W DIVISION ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,1511,15,29,25,06,1137347,1907404,2022,01/03/2023 03:40:27 PM,41.902064444,-87.770951454,"(41.902064444, -87.770951454)"
12731977,JF281985,06/16/2022 11:30:00 AM,105XX S STATE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,true,false,512,5,9,49,04A,1178120,1834963,2022,01/03/2023 03:40:27 PM,41.702448579,-87.623384875,"(41.702448579, -87.623384875)"
12718097,JF264471,05/31/2022 12:43:00 PM,034XX W Belmont Ave,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),false,false,1732,17,35,21,06,,,2022,06/07/2022 03:40:50 PM,,,
12763280,JF320203,05/30/2022 12:00:00 AM,057XX W MADISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,POLICE FACILITY / VEHICLE PARKING LOT,false,false,1513,15,29,25,08A,1138058,1899436,2022,01/03/2023 03:40:27 PM,41.880186421,-87.768532463,"(41.880186421, -87.768532463)"
